controller,n_paired,mean_intervention_rate,mean_ttc_lt_3_ratio,boot_iv_ci_lo,boot_iv_ci_hi,boot_tt_ci_lo,boot_tt_ci_hi,n_resamples,frac_on_or_below_frontier,h3b_pass,h3b_pass_any
innov_010,1080,0.07490370370370371,0.09186296296296295,0.0697961111111111,0.08029287037037038,0.08652990740740742,0.09744666666666668,1000,0.999,True,True
innov_015,1080,0.09565740740740741,0.08953333333333333,0.08998097222222222,0.10159046296296297,0.08455648148148148,0.0950659259259259,1000,1.0,True,True
innov_020,1080,0.10679814814814816,0.0876888888888889,0.10042861111111111,0.11333402777777779,0.08220925925925927,0.09292689814814815,1000,0.999,True,True
