controller,metric,n,mean,ci_lo,ci_hi
innov_010,collision_any,1080,0.04259259259259259,0.03148148148148148,0.05462962962962963
innov_010,min_ttc,886,1.763819860568216,1.696113520337791,1.8357149321829498
innov_010,ttc_lt_2_ratio,1080,0.040994444444444444,0.03749421296296296,0.04463898148148148
innov_010,ttc_lt_3_ratio,1080,0.09186296296296295,0.08624402777777777,0.09730023148148148
innov_010,max_abs_accel,1080,10.620469949493845,9.888420105762668,11.417194465951523
innov_010,max_abs_jerk,1080,211.12955242666342,191.26645569162142,232.463279914775
innov_010,max_abs_accel_f,1080,4.08637374928564,4.016939360853494,4.153575732669707
innov_010,max_abs_jerk_f,1080,19.379022663427612,18.553290290212377,20.197231529467174
innov_010,mean_speed_mps,1080,6.562575786477504,6.42443022579867,6.704718548790904
innov_010,speed_efficiency_ratio,1080,0.3634657358664465,0.3552940763332632,0.3717086182059652
innov_010,velocity_tracking_error_mps,1080,11.492979769078051,11.34673332987078,11.634102495019997
innov_010,intervention_rate,1080,0.07490370370370371,0.06992208333333333,0.0801074537037037
innov_010,mean_pct_speed_diff,1080,3.3331608316133563,3.101664242304966,3.5643307244981757
innov_010,throughput_mps,1080,6.547559989574503,6.404365051688441,6.691978249801413
innov_015,collision_any,1080,0.03796296296296296,0.026851851851851852,0.05
innov_015,min_ttc,891,1.802591017926018,1.7301021769877778,1.8749714688743502
innov_015,ttc_lt_2_ratio,1080,0.0405925925925926,0.03716097222222222,0.044174074074074074
innov_015,ttc_lt_3_ratio,1080,0.08953333333333333,0.08414208333333333,0.09479648148148148
innov_015,max_abs_accel,1080,10.865271696465966,10.106993150188272,11.702749922928493
innov_015,max_abs_jerk,1080,216.4993656683648,196.46153600046512,237.96435306856887
innov_015,max_abs_accel_f,1080,4.0911414223741565,4.020660401748052,4.162017602920703
innov_015,max_abs_jerk_f,1080,20.161856084206065,19.28576698747949,21.01605540145293
innov_015,mean_speed_mps,1080,6.55252638063308,6.405159628833633,6.698896090862568
innov_015,speed_efficiency_ratio,1080,0.36290915338890906,0.35502014965930023,0.3706434950844604
