controller,n_paired,normal_collision_rate,controller_collision_rate,diff,b_normal_safe_ctrl_crash,b_normal_crash_ctrl_safe,mcnemar_chi2,p_mcnemar,h5_pass
innov_010,1080,0.21574074074074073,0.04259259259259259,-0.17314814814814813,3,190,181.1865284974093,1.9090625746026406e-52,True
innov_015,1080,0.21574074074074073,0.03796296296296296,-0.17777777777777776,2,194,188.08163265306123,3.844728191029282e-55,True
innov_020,1080,0.21574074074074073,0.03611111111111111,-0.17962962962962964,1,195,192.0204081632653,3.922988831163664e-57,True
ttc_20,1080,0.21574074074074073,0.07777777777777778,-0.13796296296296295,5,154,139.62893081761007,2.2471520825647976e-39,True
ttc_25,1080,0.21574074074074073,0.06388888888888888,-0.15185185185185185,6,170,152.8181818181818,8.194148892560417e-43,True
ttc_30,1080,0.21574074074074073,0.04722222222222222,-0.1685185185185185,2,184,178.08602150537635,3.546502978357198e-52,True
ttc_35,1080,0.21574074074074073,0.041666666666666664,-0.17407407407407408,3,191,182.18556701030928,9.694442206814312e-53,True
