controller,n_seeds,n_within,target_tau,mean_realized,sd_realized,max_delta,h1_pass
innov_010,3,3,0.1,0.09907407407407408,0.013702452395322919,0.016666666666666677,True
innov_015,3,3,0.15,0.15,0.007349309197401649,0.008333333333333331,True
innov_020,3,3,0.2,0.20277777777777775,0.010015420209622187,0.013888888888888867,True
