seed,feature_perturbed,perturbation_direction,w_original,w_perturbed,B_orig_tau0.10,B_pert_tau0.10,delta_B_tau0.10,abs_delta_B_tau0.10,B_orig_tau0.15,B_pert_tau0.15,delta_B_tau0.15,abs_delta_B_tau0.15,B_orig_tau0.20,B_pert_tau0.20,delta_B_tau0.20,abs_delta_B_tau0.20
seed_1000,lane_offset,plus20pct,0.12,0.14937759336099585,0.5032603675254633,0.5247159094489267,0.021455541923463328,0.021455541923463328,0.48836253523983825,0.5076933739647211,0.019330838724882893,0.019330838724882893,0.4717625146876426,0.4916078500825203,0.019845335394877706,0.019845335394877706
seed_1000,lane_offset,minus20pct,0.12,0.10480349344978167,0.5032603675254633,0.546437888224096,0.043177520698632676,0.043177520698632676,0.48836253523983825,0.5297867835932053,0.041424248353367055,0.041424248353367055,0.4717625146876426,0.5137856568136963,0.04202314212605368,0.04202314212605368
seed_1000,steer_var,plus20pct,0.08,0.10041841004184102,0.5032603675254633,0.5296259661740851,0.026365598648621758,0.026365598648621758,0.48836253523983825,0.5119208599468748,0.023558324707036504,0.023558324707036504,0.4717625146876426,0.49463871276193766,0.022876198074295084,0.022876198074295084
seed_1000,steer_var,minus20pct,0.08,0.06926406926406925,0.5032603675254633,0.5404977181348267,0.037237350609363395,0.037237350609363395,0.48836253523983825,0.5247265788030562,0.03636404356321793,0.03636404356321793,0.4717625146876426,0.5088375027855553,0.03707498809791271,0.03707498809791271
seed_1000,density,plus20pct,0.06,0.07563025210084033,0.5032603675254633,0.5305387261639202,0.027278358638456845,0.027278358638456845,0.48836253523983825,0.5143567009138788,0.025994165674040504,0.025994165674040504,0.4717625146876426,0.49760640503616876,0.02584389034852619,0.02584389034852619
seed_1000,density,minus20pct,0.06,0.05172413793103448,0.5032603675254633,0.540818471023228,0.03755810349776467,0.03755810349776467,0.48836253523983825,0.5243781813376038,0.036015646097765586,0.036015646097765586,0.4717625146876426,0.5070944545099901,0.03533193982234756,0.03533193982234756
seed_2000,speed,plus20pct,0.08,0.10041841004184102,0.5133824565716045,0.5417252415860786,0.02834278501447407,0.02834278501447407,0.4939251940970944,0.521606748553931,0.027681554456836566,0.027681554456836566,0.4765671813065528,0.5016892433249451,0.025122062018392344,0.025122062018392344
seed_2000,speed,minus20pct,0.08,0.06926406926406926,0.5133824565716045,0.548955862155442,0.03557340558383748,0.03557340558383748,0.4939251940970944,0.5294271394548975,0.0355019453578031,0.0355019453578031,0.4765671813065528,0.5128001271230462,0.036232945816493445,0.036232945816493445
seed_2000,accel,plus20pct,0.1,0.125,0.5133824565716045,0.5419173910518402,0.028534934480235696,0.028534934480235696,0.4939251940970944,0.5212436416600396,0.02731844756294516,0.02731844756294516,0.4765671813065528,0.5022427918696583,0.025675610563105467,0.025675610563105467
seed_2000,accel,minus20pct,0.1,0.08695652173913046,0.5133824565716045,0.5506906143668288,0.03730815779522423,0.03730815779522423,0.4939251940970944,0.5287922243913584,0.03486703029426402,0.03486703029426402,0.4765671813065528,0.5127374960862561,0.03617031477970328,0.03617031477970328
