controller,metric,n_seeds,mean_across_seeds,sd_across_seeds,cv,stable
innov_010,collision_any,3,0.04259259259259259,0.02009493927241732,0.4717942263958849,False
innov_010,ttc_lt_3_ratio,3,0.09186296296296298,0.006634611205158976,0.0722229176064558,True
innov_010,intervention_rate,3,0.07490370370370368,0.03877876643651069,0.5177149395697137,False
innov_010,max_abs_jerk,3,211.12955242666348,20.81137579701619,0.0985715905604692,True
innov_010,mean_pct_speed_diff,3,3.3331608316133576,1.492962140922392,0.4479118219446225,False
innov_010,min_ttc,3,1.764162280576014,0.04312638841932336,0.0244458170850599,True
innov_015,collision_any,3,0.03796296296296297,0.021576259625427856,0.5683502535478556,False
innov_015,ttc_lt_3_ratio,3,0.08953333333333331,0.0058302610957352875,0.0651183294385922,True
innov_015,intervention_rate,3,0.09565740740740737,0.03030444102917154,0.3168018227810016,False
innov_015,max_abs_jerk,3,216.4993656683647,12.631792416213909,0.05834563245586308,True
innov_015,mean_pct_speed_diff,3,3.6906320355896107,1.503246206251294,0.40731402961746016,False
innov_015,min_ttc,3,1.8028547253016558,0.027754702766626893,0.015394863699837459,True
innov_020,collision_any,3,0.03611111111111111,0.022737091032979023,0.6296425209132653,False
innov_020,ttc_lt_3_ratio,3,0.08768888888888889,0.0055611860356812835,0.06341950623559497,True
innov_020,intervention_rate,3,0.10679814814814814,0.03130018554619665,0.29307798017974707,False
innov_020,max_abs_jerk,3,208.56541933489416,16.42001266648218,0.0787283564017701,True
innov_020,mean_pct_speed_diff,3,3.9433203904477665,1.592487022016646,0.4038441882313849,False
innov_020,min_ttc,3,1.8219726958871494,0.02144099033158128,0.011768008587604711,True
normal,collision_any,3,0.21574074074074076,0.01890794245987235,0.08764196505005208,True
normal,ttc_lt_3_ratio,3,0.10254074074074071,0.0015555687830125099,0.015170251080451412,True
normal,intervention_rate,3,0.0,0.0,,False
normal,max_abs_jerk,3,299.07801135235565,45.30271296493187,0.1514745693275289,True
normal,mean_pct_speed_diff,3,0.8701370370370309,0.2806212822030778,0.32250239934463937,False
normal,min_ttc,3,1.6744097660013704,0.07307807987285692,0.0436440836387221,True
ttc_20,collision_any,3,0.07777777777777778,0.026498311150470712,0.34069257193462343,False
ttc_20,ttc_lt_3_ratio,3,0.10387222222222224,0.0013521701806839335,0.013017630236032945,True
ttc_20,intervention_rate,3,0.04660555555555554,0.0003632415786283757,0.007793954482430284,True
ttc_20,max_abs_jerk,3,227.0305903447604,37.63590744454363,0.16577460943651298,True
ttc_20,mean_pct_speed_diff,3,1.9562847736625446,0.2525120557637284,0.1290773506819137,True
ttc_20,min_ttc,3,1.7430204126580044,0.06927029816333508,0.0397415300820843,True
ttc_25,collision_any,3,0.06388888888888888,0.027357938338322514,0.42821120877374375,False
ttc_25,ttc_lt_3_ratio,3,0.10252962962962962,0.001595715069917554,0.01556345298117038,True
ttc_25,intervention_rate,3,0.07294074074074072,0.0011426136020638601,0.01566495747726426,True
ttc_25,max_abs_jerk,3,208.79693000812074,26.056731771012455,0.12479461153954241,True
ttc_25,mean_pct_speed_diff,3,2.595742386831269,0.24309998895936177,0.09365335720241641,True
ttc_25,min_ttc,3,1.7707118325836193,0.062171443250548596,0.035110988759721094,True
ttc_30,collision_any,3,0.04722222222222222,0.02545875386086578,0.5391265523477459,False
ttc_30,ttc_lt_3_ratio,3,0.09761666666666667,0.001520883433979438,0.015580161522753334,True
ttc_30,intervention_rate,3,0.09761666666666667,0.001520883433979438,0.015580161522753334,True
ttc_30,max_abs_jerk,3,209.6013915102019,21.077660253928222,0.10056068856251993,True
ttc_30,mean_pct_speed_diff,3,3.446222222222216,0.25288906090278934,0.07338153043993773,True
ttc_30,min_ttc,3,1.8460304639114338,0.05846267094500932,0.031669396625847966,True
ttc_35,collision_any,3,0.041666666666666664,0.022047927592204922,0.5291502622129182,False
ttc_35,ttc_lt_3_ratio,3,0.08027407407407405,0.0019563629435966506,0.024371043405513323,True
ttc_35,intervention_rate,3,0.11763888888888896,0.0020163528987618713,0.01714018993044329,True
ttc_35,max_abs_jerk,3,206.76487837478643,26.64253086551358,0.12885423808399782,True
ttc_35,mean_pct_speed_diff,3,4.025106790123451,0.27126250011830066,0.06739262192593429,True
ttc_35,min_ttc,3,1.891626465921128,0.06211235233193645,0.03283542150151236,True
